system:index,20150101,20150201,20150301,20150401,20150501,20150601,20150701,20150801,20150901,20151001,20151101,20151201,COUNTRY,CaCO3,Clay,Coarse,EC,FID_LUCAS_,FID_gadm40,ID_0,K,LC,LC0_Desc,LC1_Desc,LU,LU1_Desc,N,NUTS_0,NUTS_1,NUTS_2,NUTS_3,OC,P,Point_ID,Sand,Silt,pH_CaCl2,pH_H20,.geo
00000000000000000639,96.0,27.0,60.0,25.0,53.0,38.0,113.0,91.0,85.0,53.0,142.0,51.0,Germany,0,0,0,46.8,9561,0,DEU,340.3,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),5.6,DE,DE9,DE93,DE932,47.8,120.2,42443404,0,0,4.5,4.74,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000063e,102.0,26.0,69.0,27.0,59.0,39.0,119.0,88.0,78.0,56.0,147.0,55.0,Germany,0,0,0,38.1,9773,0,DEU,61.3,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),2.6,DE,DE9,DE93,DE939,21.7,15.3,42763408,0,0,4.6,4.83,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000641,101.0,26.0,65.0,27.0,58.0,39.0,116.0,90.0,84.0,56.0,148.0,54.0,Germany,1,0,0,58.9,9697,0,DEU,350.3,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),4.1,DE,DE9,DE93,DE932,39.2,61.8,42643410,0,0,4.6,4.74,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004fa,100.0,43.0,56.0,26.0,47.0,42.0,98.0,110.0,73.0,39.0,114.0,49.0,Germany,0,0,0,10.32,8843,0,DEU,92.7,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),3.0,DE,DE9,DE94,DE94B,41.3,57.3,41183274,0,0,4.7,5.17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000545,93.0,35.0,64.0,29.0,44.0,39.0,98.0,105.0,67.0,45.0,119.0,45.0,Germany,0,0,0,32.9,9295,0,DEU,235.4,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),1.6,DE,DE9,DE94,DE94F,16.8,116.2,42003288,0,0,5.5,5.67,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000055e,107.0,42.0,64.0,29.0,52.0,40.0,117.0,120.0,75.0,43.0,125.0,49.0,Germany,0,0,0,14.57,9082,0,DEU,16.1,E20,Grassland,Grassland without tree/shrub cover,U120,Forestry,1.4,DE,DE9,DE94,DE949,26.1,45.3,41623298,0,0,3.9,4.25,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000566,87.0,32.0,61.0,27.0,42.0,37.0,94.0,101.0,64.0,43.0,113.0,42.0,Germany,0,0,0,186.6,9381,0,DEU,212.9,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),7.6,DE,DE9,DE94,DE94F,84.7,73.5,42163298,0,0,4.2,4.23,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000571,107.0,41.0,66.0,30.0,54.0,39.0,117.0,114.0,76.0,44.0,128.0,50.0,Germany,1,0,0,100.5,9134,0,DEU,74.9,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),4.4,DE,DE9,DE94,DE948,56.0,177.3,41743302,0,0,4.7,4.89,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005a7,89.0,31.0,59.0,28.0,47.0,37.0,99.0,103.0,64.0,43.0,119.0,43.0,Germany,0,0,0,21.7,9402,0,DEU,51.3,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),1.6,DE,DE9,DE94,DE94D,24.8,119.3,42203322,0,0,4.0,4.22,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005b5,105.0,40.0,63.0,27.0,53.0,40.0,119.0,111.0,76.0,41.0,131.0,48.0,Germany,0,0,0,323.0,9039,0,DEU,356.1,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),29.1,DE,DE9,DE94,DE94C,505.9,324.2,41523334,0,0,3.7,3.96,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005b9,104.0,38.0,64.0,29.0,57.0,39.0,118.0,109.0,76.0,43.0,134.0,48.0,Germany,0,0,0,55.0,9143,0,DEU,48.8,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),2.5,DE,DE9,DE94,DE948,32.6,169.5,41763334,0,0,4.4,4.57,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005ce,104.0,39.0,63.0,27.0,54.0,39.0,118.0,109.0,78.0,42.0,134.0,48.0,Germany,0,0,0,94.5,9074,0,DEU,93.9,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),8.0,DE,DE9,DE94,DE94C,128.7,48.1,41603342,0,0,4.5,4.82,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005d2,84.0,28.0,55.0,27.0,50.0,37.0,102.0,105.0,63.0,40.0,120.0,42.0,Germany,1,0,0,53.7,9399,0,DEU,132.6,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),4.4,DE,DE9,DE94,DE94G,37.4,59.5,42183342,0,0,4.5,4.74,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005dc,103.0,36.0,64.0,28.0,57.0,38.0,117.0,108.0,76.0,42.0,137.0,48.0,Germany,0,0,0,42.2,9225,0,DEU,45.7,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),3.0,DE,DE9,DE94,DE946,29.3,39.8,41903350,0,0,5.7,6.02,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005dd,91.0,30.0,57.0,28.0,55.0,37.0,113.0,110.0,69.0,41.0,130.0,44.0,Germany,1,0,0,133.6,9339,0,DEU,200.1,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),6.5,DE,DE9,DE94,DE94G,84.4,33.8,42083350,0,0,4.8,5.02,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005e3,101.0,38.0,58.0,25.0,52.0,39.0,116.0,112.0,75.0,40.0,136.0,47.0,Germany,1,0,0,34.7,8993,0,DEU,408.4,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),8.1,DE,DE9,DE94,DE94C,84.9,89.7,41423356,0,0,4.5,4.69,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005ea,98.0,33.0,61.0,28.0,56.0,38.0,117.0,107.0,73.0,42.0,138.0,47.0,Germany,1,8,10,168.9,9296,0,DEU,134.0,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),14.8,DE,DE9,DE94,DE946,215.3,75.8,42003356,49,43,4.9,5.03,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005eb,92.0,30.0,57.0,28.0,55.0,38.0,115.0,110.0,70.0,41.0,134.0,45.0,Germany,0,0,0,237.0,9351,0,DEU,2556.7,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),16.1,DE,DE9,DE94,DE94G,249.6,142.5,42103356,0,0,4.6,4.87,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005f4,95.0,31.0,58.0,27.0,55.0,38.0,115.0,109.0,71.0,41.0,133.0,46.0,Germany,1,0,0,27.2,9325,0,DEU,627.5,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),7.3,DE,DE9,DE94,DE94G,64.4,135.8,42063358,0,0,5.6,5.79,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000601,91.0,28.0,54.0,27.0,56.0,38.0,113.0,105.0,70.0,42.0,134.0,45.0,Germany,0,0,0,18.34,9374,0,DEU,319.5,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),3.8,DE,DE9,DE94,DE94G,39.4,37.1,42143366,0,0,5.2,5.54,"{""type"":""MultiPoint"",""coordinates"":[]}"
