system:index,20150101,20150201,20150301,20150401,20150501,20150601,20150701,20150801,20150901,20151001,20151101,20151201,COUNTRY,CaCO3,Clay,Coarse,EC,FID_LUCAS_,FID_gadm40,ID_0,K,LC,LC0_Desc,LC1_Desc,LU,LU1_Desc,N,NUTS_0,NUTS_1,NUTS_2,NUTS_3,OC,P,Point_ID,Sand,Silt,pH_CaCl2,pH_H20,.geo
00000000000000000043,283.0,199.0,262.0,264.0,230.0,203.0,220.0,203.0,223.0,170.0,278.0,177.0,Germany,0,0,0,29.9,11786,0,DEU,55.2,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),3.2,DE,DE2,DE21,DE21M,27.3,22.9,45202754,0,0,4.9,5.23,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045,282.0,195.0,266.0,266.0,235.0,214.0,219.0,199.0,219.0,156.0,269.0,180.0,Germany,0,0,0,18.06,11198,0,DEU,113.3,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),3.6,DE,DE2,DE21,DE21K,32.0,61.3,44662754,0,0,6.0,6.15,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a,361.0,257.0,329.0,302.0,269.0,255.0,259.0,228.0,262.0,189.0,339.0,269.0,Germany,1,0,0,68.8,10547,0,DEU,93.7,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),5.8,DE,DE2,DE21,DE21E,52.7,18.6,43942754,0,0,6.0,6.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c,276.0,197.0,254.0,261.0,229.0,203.0,212.0,202.0,220.0,165.0,270.0,169.0,Germany,1,0,0,43.5,11710,0,DEU,128.4,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),3.7,DE,DE2,DE21,DE21M,30.7,18.2,45122758,0,0,5.2,5.32,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d,274.0,194.0,256.0,262.0,228.0,203.0,211.0,201.0,218.0,163.0,267.0,169.0,Germany,1,0,0,32.0,11580,0,DEU,281.0,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),2.8,DE,DE2,DE21,DE21K,23.3,80.1,45002758,0,0,5.5,5.64,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000050,322.0,222.0,298.0,286.0,254.0,238.0,236.0,212.0,241.0,172.0,300.0,224.0,Germany,144,0,0,38.7,10863,0,DEU,105.7,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),4.3,DE,DE2,DE21,DE216,25.9,13.0,44322758,0,0,7.1,7.35,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000057,281.0,192.0,261.0,265.0,227.0,212.0,214.0,197.0,213.0,155.0,268.0,174.0,Germany,1,0,0,121.5,11295,0,DEU,128.5,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),8.3,DE,DE2,DE21,DE21K,73.2,50.0,44762764,0,0,6.1,6.2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005d,298.0,207.0,273.0,274.0,237.0,217.0,223.0,206.0,227.0,173.0,290.0,188.0,Germany,1,0,0,81.3,11485,0,DEU,77.0,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),7.0,DE,DE2,DE21,DE21K,64.2,24.5,44922768,0,0,6.3,6.32,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000062,293.0,199.0,268.0,265.0,228.0,213.0,216.0,197.0,218.0,158.0,280.0,180.0,Germany,2,0,0,274.0,11444,0,DEU,124.5,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),20.8,DE,DE2,DE21,DE21K,208.7,63.9,44882770,0,0,5.3,5.34,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000067,305.0,205.0,277.0,274.0,232.0,214.0,222.0,196.0,219.0,164.0,293.0,191.0,Germany,0,0,0,48.4,11365,0,DEU,89.3,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),6.1,DE,DE2,DE21,DE21K,49.0,71.5,44822776,0,0,6.2,6.33,"{""type"":""MultiPoint"",""coordinates"":[]}"
