OID_,Point_ID,long,lat,Clay,Sand,Silt,pH_CaCl2,pH_H20,EC,OC,CaCO3,P,N,K,LC,LU,NUTS_0,NUTS_1,NUTS_2,NUTS_3,LC0_Desc,LC1_Desc,LU1_Desc
9586,42482476,9.069178067,45.39215772,0,0,0,4.7,4.99,30.8,13.2,0,34.7,1.6,205.5,B17,U111,IT,ITC,ITC4,ITC4C,Cropland,Rice,Agriculture (excluding fallow land and kitchen gardens)
9587,42482812,9.014186203,48.41708053,0,0,0,7.2,7.56,29,43.7,162,20.5,4.7,747.1,B71,U111,DE,DE1,DE14,DE142,Cropland,Apple fruit,Agriculture (excluding fallow land and kitchen gardens)
9588,42483136,8.952591238,51.33019447,0,0,0,6.4,6.72,24.6,12.2,1,87.4,1.6,455.5,B11,U111,DE,DE7,DE73,DE736,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
9589,42483154,8.948883656,51.49196437,0,0,0,3.5,4.07,10.77,33.1,0,35.7,2,66.3,C10,U120,DE,DE7,DE73,DE736,Woodland,Broadleaved woodland,Forestry
9590,42483226,8.933723029,52.13899554,0,0,0,5.4,5.72,27.6,10.3,0,25.4,1.4,134.9,B13,U111,DE,DEA,DEA4,DEA45,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
9591,42483322,8.912649459,53.00161124,0,0,0,6.2,6.52,20.3,12.2,1,79.5,1.7,168.4,B11,U111,DE,DE9,DE92,DE922,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
9592,42483466,8.879052038,54.29543722,0,0,0,7.2,7.73,20,10.6,52,17.2,1.2,92.4,E30,U420,DE,DEF,DEF0,DEF07,Grassland,Spontaneously re-vegetated surfaces,Semi-natural and natural areas not in use
9593,42483628,8.838101725,55.75103795,0,0,0,6.1,6.46,13.56,30.9,0,20.7,1.9,75,B22,U111,DK,DK0,DK03,DK032,Cropland,Sugar beet,Agriculture (excluding fallow land and kitchen gardens)
9594,42501808,9.181007929,39.35832199,0,0,0,7.4,7.92,16,2.9,361,10.2,1.2,190,B81,U111,IT,ITG,ITG2,ITG27,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
9595,42501980,9.160940914,40.91524173,0,0,0,5,5.26,51.5,28.5,0,66,3.3,676.2,E20,U111,IT,ITG,ITG2,ITG29,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
9596,42501988,9.159974282,40.9875952,0,0,0,4.6,4.96,83.8,52,0,31.1,5.3,107.9,C10,U420,IT,ITG,ITG2,ITG29,Woodland,Broadleaved woodland,Semi-natural and natural areas not in use
9597,42502394,9.106591067,44.653308,0,0,0,6.7,6.91,59.8,122.1,99,28.7,8.1,312.9,C10,U120,IT,ITC,ITC1,ITC18,Woodland,Broadleaved woodland,Forestry
9598,42502430,9.101411774,44.97782509,26,15,59,6.7,6.82,28.7,23.8,2,107.8,2.8,271.5,B82,U111,IT,ITC,ITC4,ITC48,Cropland,Vineyards,Agriculture (excluding fallow land and kitchen gardens)
9599,42502538,9.085389873,45.95094736,0,0,0,5.1,5.4,37.7,33.9,0,22.7,3.7,90.2,C10,U120,IT,ITC,ITC4,ITC42,Woodland,Broadleaved woodland,Forestry
9600,42502766,9.04899325,48.00347065,0,0,0,6.6,6.7,52,50.8,3,18,5.9,222.6,E20,U111,DE,DE1,DE14,DE149,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
9601,42502820,9.03981867,48.48928324,0,0,0,5.7,5.76,77.9,26.7,1,60.3,3.4,282,E20,U111,DE,DE1,DE14,DE142,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
9602,42503014,9.00491884,50.23384006,0,0,0,6.8,6.93,49,16.7,8,60.2,2.1,309.4,B73,U410,DE,DE7,DE71,DE719,Cropland,Cherry fruit,Abandoned areas
9603,42503180,8.972413013,51.72587968,0,0,0,3.1,3.82,32.1,199.6,0,63.3,9.7,98.2,C21,U120,DE,DEA,DEA4,DEA47,Woodland,Spruce dominated coniferous woodland,Forestry
9604,42503186,8.971188523,51.77979982,0,0,0,3.2,3.89,116,396.6,0,115.1,19.1,164.7,C31,U120,DE,DEA,DEA4,DEA44,Woodland,Spruce dominated mixed woodland,Forestry
9605,42503342,8.938040009,53.18158019,0,0,0,3.8,4.05,187.3,285.2,0,207,15.6,179.2,E20,U111,DE,DE9,DE93,DE936,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
9606,42503366,8.932705705,53.39722174,0,0,0,5.1,5.34,23.1,16.4,1,77.6,1.5,171.1,B13,U111,DE,DE9,DE93,DE932,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
9607,42503522,8.896376587,54.79886973,0,0,0,6,6.3,6.46,18,2,96.5,1.8,58.5,B18,U111,DE,DEF,DEF0,DEF07,Cropland,Triticale,Agriculture (excluding fallow land and kitchen gardens)
9608,42503572,8.884088722,55.24812997,0,0,0,4.6,4.92,31.1,19.3,0,82.2,2.1,166.3,B13,U111,DK,DK0,DK03,DK032,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
9609,42503708,8.848937967,56.47023365,0,0,0,4.9,5.11,27.7,17.3,0,25.6,1.9,130,B15,U111,DK,DK0,DK04,DK041,Cropland,Oats,Agriculture (excluding fallow land and kitchen gardens)
9610,42522422,9.127847273,44.90593011,45,8,47,7.4,7.74,17.16,13.7,38,8.5,1.7,381.5,B52,U111,IT,ITC,ITC4,ITC48,Cropland,Lucerne,Agriculture (excluding fallow land and kitchen gardens)
9611,42522534,9.111741014,45.9151348,0,0,0,4.3,4.91,11.35,51.2,0,16.4,4.7,88.4,C10,U120,IT,ITC,ITC4,ITC42,Woodland,Broadleaved woodland,Forestry
9612,42522552,9.109079637,46.07726709,8,44,48,4,4.15,37.2,79.5,0,16.9,6.9,95.4,C10,U120,IT,ITC,ITC4,ITC42,Woodland,Broadleaved woodland,Forestry
9613,42522884,9.056008628,49.06516506,0,0,0,7.1,7.47,31,24.2,16,59.1,2.8,713,E20,U111,DE,DE1,DE11,DE118,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
9614,42522920,9.049761141,49.38891197,0,0,0,6.8,6.75,34.5,15.3,2,58.4,1.6,412.9,F40,U111,DE,DE1,DE12,DE127,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens)
9615,42523334,8.969664592,53.10995771,0,0,0,4.3,4.61,86.8,56.1,0,49.6,4.2,89.8,E20,U111,DE,DE9,DE93,DE93B,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
9616,42541880,9.219372756,40.01075323,14,35,51,5.7,6.02,10.55,46.8,0,15.1,3.1,271.9,C10,U111,IT,ITG,ITG2,ITG26,Woodland,Broadleaved woodland,Agriculture (excluding fallow land and kitchen gardens)
9617,42541934,9.213398639,40.49949269,14,59,27,4.7,5.07,12.87,12.2,0,9.2,1.3,54.2,B55,U111,IT,ITG,ITG2,ITG25,Cropland,Temporary grassland,Agriculture (excluding fallow land and kitchen gardens)
9618,42541950,9.211604161,40.64425652,0,0,0,4.9,5.62,7.36,36.6,0,4.2,1.9,176.1,C22,U420,IT,ITG,ITG2,ITG29,Woodland,Pine dominated coniferous woodland,Semi-natural and natural areas not in use
9619,42542100,9.194217324,42.0004057,18,44,39,4.5,5,7.18,55.1,1,9.5,2.6,265.6,C22,U120,FR,FRM,FRM0,FRM01,Woodland,Pine dominated coniferous woodland,Forestry
9620,42542896,9.081357156,49.17331287,0,0,0,6.6,6.59,18.86,11.2,1,65.3,1.3,219.7,E30,U111,DE,DE1,DE11,DE118,Grassland,Spontaneously re-vegetated surfaces,Agriculture (excluding fallow land and kitchen gardens)
9621,42543054,9.053803998,50.59389624,0,0,0,5.1,5.34,33.5,27,0,38.3,3.4,85.8,E20,U111,DE,DE7,DE72,DE721,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
9622,42543086,9.04796887,50.88153691,0,0,0,3.8,4.19,7.13,54.7,0,27,2.5,41.2,C32,U120,DE,DE7,DE72,DE724,Woodland,Pine dominated mixed woodland,Forestry
9623,42543090,9.047233175,50.91749054,0,0,0,4.1,4.58,17.84,25.2,0,18.2,1.9,65.6,C31,U120,DE,DE7,DE72,DE724,Woodland,Spruce dominated mixed woodland,Forestry
9624,42543140,9.037916446,51.36688582,0,0,0,4.4,4.81,34.9,23.9,0,22.8,2.4,190.2,C10,U120,DE,DE7,DE73,DE736,Woodland,Broadleaved woodland,Forestry
9625,42543248,9.017000854,52.33744677,0,0,0,5.2,5.27,21.1,11.1,1,70.2,1.3,85.1,B16,U111,DE,DEA,DEA4,DEA46,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens)
9626,42543270,9.012601866,52.53513618,0,0,0,4.7,4.72,22.8,10.5,1,70.2,1.2,88.5,B32,U111,DE,DE9,DE92,DE927,Cropland,Rape and turnip rape,Agriculture (excluding fallow land and kitchen gardens)
9627,42543292,9.008154308,52.73282105,0,0,0,5.7,5.88,24.5,18.8,1,56.2,1.8,56.8,B16,U111,DE,DE9,DE92,DE922,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens)
9628,42543360,8.994091754,53.34382476,0,0,0,3.8,4.35,55.5,534.8,0,175.8,19.1,195.2,E20,U111,DE,DE9,DE93,DE937,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
9629,42543680,8.920809321,56.21916178,0,0,0,5.9,6.12,16.84,12.4,0,94.7,1,50.4,B13,U111,DK,DK0,DK04,DK041,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
9630,42543720,8.91072917,56.57863973,0,0,0,5.9,6.1,31.2,18.5,0,41.2,2.1,114.2,B32,U111,DK,DK0,DK04,DK041,Cropland,Rape and turnip rape,Agriculture (excluding fallow land and kitchen gardens)
9631,42561800,9.251039796,39.28640192,37,24,40,7.3,7.59,15.13,7.5,15,7.5,0.8,517.4,B82,U111,IT,ITG,ITG2,ITG27,Cropland,Vineyards,Agriculture (excluding fallow land and kitchen gardens)
9632,42561918,9.238608013,40.35489146,19,48,32,5.6,5.87,19.99,25.2,1,21,2.4,135.1,B54,U111,IT,ITG,ITG2,ITG26,Cropland,Mix of cereals,Agriculture (excluding fallow land and kitchen gardens)
9633,42562376,9.184429074,44.4916381,20,31,49,6.4,6.66,20.1,12.4,3,25.4,1.5,9873.7,C10,U120,IT,ITC,ITC3,ITC33,Woodland,Broadleaved woodland,Forestry
9634,42562962,9.097850758,49.76702471,0,0,0,5.9,6.05,10.97,11.2,1,23.2,1.2,65.8,E20,U111,DE,DE7,DE71,DE71B,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
9635,42563034,9.085540448,50.41433755,20,15,65,5,5.28,24.9,30.6,0,13.8,2.4,117,C10,U120,DE,DE7,DE71,DE71E,Woodland,Broadleaved woodland,Forestry
9636,42563286,9.038939867,52.67914857,0,0,0,4.5,4.54,32.3,12,1,118.4,1.2,55.3,B14,U111,DE,DE9,DE92,DE927,Cropland,Rye,Agriculture (excluding fallow land and kitchen gardens)
9637,42563304,9.035384688,52.84088965,0,0,0,4.9,5.38,27.6,34.7,1,94.8,2.8,206.7,C10,U420,DE,DE9,DE92,DE922,Woodland,Broadleaved woodland,Semi-natural and natural areas not in use
9638,42563736,8.939267121,56.72270779,0,0,0,5.1,5.34,36.9,26,0,64.2,2.6,146.9,B32,U111,DK,DK0,DK04,DK041,Cropland,Rape and turnip rape,Agriculture (excluding fallow land and kitchen gardens)
9639,42581892,9.264736817,40.11974526,0,0,0,6.6,6.97,5.95,5.4,0,2.9,0.6,72.3,B54,U111,IT,ITG,ITG2,ITG26,Cropland,Mix of cereals,Agriculture (excluding fallow land and kitchen gardens)
9640,42581922,9.261616019,40.39126883,0,0,0,4.3,4.73,44.4,80.4,0,20.4,6.7,345.5,C10,U120,IT,ITG,ITG2,ITG26,Woodland,Broadleaved woodland,Forestry
9641,42582378,9.209270354,44.50986477,0,0,0,4.5,4.91,42.8,33.3,1,7.4,3.5,119.7,C10,U420,IT,ITC,ITC3,ITC33,Woodland,Broadleaved woodland,Semi-natural and natural areas not in use
9642,42582432,9.202396749,44.9966706,0,0,0,7.3,7.72,21.3,11.6,88,20.5,1.2,148.1,B82,U111,IT,ITC,ITC4,ITC48,Cropland,Vineyards,Agriculture (excluding fallow land and kitchen gardens)
9643,42582462,9.198509722,45.26704672,0,0,0,5.8,5.94,32,22.4,0,81.1,2.7,207.5,E20,U111,IT,ITC,ITC4,ITC48,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
9644,42582504,9.192983783,45.645491,0,0,0,6.2,6.36,9.15,25.7,1,32.2,2.7,65,E10,U312,IT,ITC,ITC4,ITC4D,Grassland,Grassland with sparse tree/shrub cover,Road transport
9645,42582904,9.13493038,49.24569378,0,0,0,7.5,7.77,20.6,15.5,21,34.1,1.8,412.5,B22,U111,DE,DE1,DE11,DE118,Cropland,Sugar beet,Agriculture (excluding fallow land and kitchen gardens)
9646,42582976,9.123318261,49.89311937,0,0,0,6,6.14,13.34,7.9,0,55.2,1.1,162.7,B16,U111,DE,DE2,DE26,DE269,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens)
9647,42582994,9.120353714,50.05495406,0,0,0,6.7,6.7,17.19,8.3,3,29.4,1,130.3,B13,U111,DE,DE2,DE26,DE264,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
9648,42583038,9.113000293,50.45051683,0,0,0,5.3,5.54,25,15.2,0,38.3,2.1,108,E20,U111,DE,DE7,DE72,DE725,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
9649,42583062,9.108924216,50.66625983,0,0,0,5.7,5.93,14.07,33,1,57.7,3.8,131,E20,U111,DE,DE7,DE72,DE725,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
9650,42583080,9.105836397,50.82805911,0,0,0,5,5.39,8.97,22.1,0,27.8,2.8,110.3,E20,U111,DE,DE7,DE72,DE724,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
9651,42583182,9.087823805,51.74480912,0,0,0,6.1,6.29,70.4,52.3,6,29.3,4.2,240.9,C33,U120,DE,DEA,DEA4,DEA44,Woodland,Other mixed woodland,Forestry
9652,42583228,9.079402728,52.15819335,0,0,0,4.6,4.96,33.9,28.2,0,31.8,2.7,68.8,E20,U111,DE,DE9,DE92,DE928,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
9653,42583236,9.077918595,52.23008358,0,0,0,5.9,6.1,35.7,11.4,0,52.4,1.5,174.8,B16,U111,DE,DE9,DE92,DE928,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens)
9654,42583542,9.016386339,54.97961418,0,0,0,5.1,5.79,4.71,19.1,0,54.3,1.8,102,B13,U111,DK,DK0,DK03,DK032,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
9655,42583678,8.985698564,56.20171204,0,0,0,4.5,4.85,16.17,19.1,0,83.8,1.3,19.1,B21,U111,DK,DK0,DK04,DK041,Cropland,Potatoes,Agriculture (excluding fallow land and kitchen gardens)
9656,42583722,8.975271993,56.59714395,0,0,0,6,6.22,26.5,18.3,0,50.2,2.1,209.6,B41,U111,DK,DK0,DK04,DK041,Cropland,Dry pulses,Agriculture (excluding fallow land and kitchen gardens)
9657,42583740,8.97093258,56.7589203,0,0,0,5,5.25,28,14.6,0,57.2,1.8,122.4,B11,U111,DK,DK0,DK04,DK041,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
9658,42583776,8.962121371,57.08249006,0,0,0,3.4,4.51,6.84,20.9,0,12.7,0.9,30.1,C23,U120,DK,DK0,DK05,DK050,Woodland,Other coniferous woodland,Forestry
9659,42601800,9.297127493,39.28674706,0,0,0,5.7,6.14,6.45,16.5,0,4.5,1.3,105.7,D20,U420,IT,ITG,ITG2,ITG27,Shrubland,Shrubland without tree cover,Semi-natural and natural areas not in use
9660,42601908,9.286470189,40.26474032,0,0,0,5.8,6.04,39.7,17.3,0,61.9,2.4,192.9,E20,U111,IT,ITG,ITG2,ITG26,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
9661,42601930,9.284243837,40.46383552,0,0,0,4.8,5.33,26.9,62.2,0,21.4,5.2,524.7,C10,U120,IT,ITG,ITG2,ITG26,Woodland,Broadleaved woodland,Forestry
9662,42601954,9.28179311,40.68098342,14,58,28,5.1,5.42,16.16,29.8,0,0,2,113.9,C22,U120,IT,ITG,ITG2,ITG29,Woodland,Pine dominated coniferous woodland,Forestry
9663,42602380,9.234127551,44.52808528,18,38,44,6.9,7.13,41.4,27,14,8.2,2.6,77.2,C10,U120,IT,ITC,ITC3,ITC33,Woodland,Broadleaved woodland,Forestry
9664,42602746,9.185798597,47.82458463,0,0,0,4.9,5.24,14.07,10,0,39.1,1.4,100.3,B11,U111,DE,DE1,DE14,DE147,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
9665,42602758,9.184078962,47.93256386,0,0,0,6.1,6.34,19.15,14,0,58.6,1.8,300.7,B13,U111,DE,DE1,DE14,DE149,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
9666,42602992,9.148596822,50.03718487,0,0,0,6.8,6.92,17.29,7.5,1,13.7,1,106.4,B41,U111,DE,DE2,DE26,DE264,Cropland,Dry pulses,Agriculture (excluding fallow land and kitchen gardens)
9667,42603070,9.135884272,50.73838713,0,0,0,4.2,4.66,14.38,39.7,1,76.1,2.8,127.8,C10,U120,DE,DE7,DE72,DE725,Woodland,Broadleaved woodland,Forestry
9668,42603100,9.130867682,51.00804564,0,0,0,4,4.57,10.78,25.3,1,27.2,1.7,83.1,C31,U120,DE,DE7,DE73,DE735,Woodland,Spruce dominated mixed woodland,Forestry
9669,42603190,9.115374278,51.81692562,0,0,0,6.7,6.99,21.3,11.9,4,66.6,1.5,217.6,B11,U111,DE,DEA,DEA4,DEA44,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
9670,42603250,9.104659699,52.35611444,0,0,0,3.1,3.46,26.1,94,1,49.5,3.5,100.9,E30,U120,DE,DE9,DE92,DE928,Grassland,Spontaneously re-vegetated surfaces,Forestry
9671,42603492,9.057999827,54.53058699,0,0,0,5.5,5.95,14.3,22.5,2,116.1,2,136,B16,U111,DE,DEF,DEF0,DEF07,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens)
9672,42603550,9.045920363,55.05173942,0,0,0,5.3,5.58,22,11.3,0,48.9,1.2,30.4,B13,U111,DK,DK0,DK03,DK032,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
9673,42603574,9.040811992,55.26739444,0,0,0,5.2,5.57,17.25,10,0,42.8,1.1,92.6,B15,U111,DK,DK0,DK03,DK032,Cropland,Oats,Agriculture (excluding fallow land and kitchen gardens)
9674,42603610,9.03302498,55.59088568,0,0,0,4.4,4.71,17.35,16.8,0,50.1,1.5,30.9,B53,U111,DK,DK0,DK03,DK032,Cropland,Other Leguminous  and mixtures for fodder,Agriculture (excluding fallow land and kitchen gardens)
9675,42603628,9.02907431,55.75263594,0,0,0,3.6,4.6,5.43,18.7,1,17.4,1.3,26.8,D20,U420,DK,DK0,DK03,DK032,Shrubland,Shrubland without tree cover,Semi-natural and natural areas not in use
9676,42621864,9.314115252,39.8665902,18,48,34,6.1,6.2,13.49,22.7,0,5.6,2.4,169.4,D20,U111,IT,ITG,ITG2,ITG2A,Shrubland,Shrubland without tree cover,Agriculture (excluding fallow land and kitchen gardens)
9677,42621978,9.302946933,40.89825239,8,65,27,5.8,5.98,11.07,32.2,0,39.4,3,259.7,E10,U111,IT,ITG,ITG2,ITG29,Grassland,Grassland with sparse tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
9678,42622382,9.259000681,44.54629965,35,10,55,5.5,5.86,19.51,15.7,0,0,1.9,137.3,C10,U120,IT,ITC,ITC3,ITC33,Woodland,Broadleaved woodland,Forestry
9679,42622450,9.250856619,45.15927633,0,0,0,5.8,6.11,9.46,16.4,0,101,2,318.8,B52,U111,IT,ITC,ITC4,ITC48,Cropland,Lucerne,Agriculture (excluding fallow land and kitchen gardens)
9680,42622490,9.245955152,45.51973027,0,0,0,5.6,5.96,8.01,31.4,0,8.5,3.2,41.2,E20,U361,IT,ITC,ITC4,ITC4C,Grassland,Grassland without tree/shrub cover,"Amenities, museum, leisure (e.g. parks, botanical gardens)"
9681,42622896,9.19103738,49.17415722,0,0,0,7.4,7.73,25.5,14.9,139,33.1,1.4,367.5,B53,U111,DE,DE1,DE11,DE117,Cropland,Other Leguminous  and mixtures for fodder,Agriculture (excluding fallow land and kitchen gardens)
9682,42623040,9.168996742,50.46891752,0,0,0,4.8,5.04,50.4,42.2,0,38.1,5.1,103.5,E20,U111,DE,DE7,DE72,DE725,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
9683,42623044,9.168362936,50.50487575,0,0,0,5.5,5.74,37.6,36.5,0,36,4.3,113.1,E20,U111,DE,DE7,DE72,DE725,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
9684,42623080,9.162604008,50.82848446,0,0,0,6.4,6.95,12.11,12.7,1,62.8,1.6,278.9,B13,U111,DE,DE7,DE72,DE725,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
9685,42623116,9.156744928,51.15206736,0,0,0,5.5,6.04,11.28,12.2,0,29.5,1.8,163.4,B11,U111,DE,DE7,DE73,DE736,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
9686,42623274,9.129780087,52.57199742,0,0,0,6.2,6.34,25.8,16.1,1,77.4,2.1,212.7,B11,U111,DE,DE9,DE92,DE927,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
9687,42623332,9.119339212,53.09316927,0,0,0,5.3,5.79,15.56,77.4,0,82.5,4.5,248.4,B14,U111,DE,DE9,DE93,DE93B,Cropland,Rye,Agriculture (excluding fallow land and kitchen gardens)
9688,42623368,9.11270304,53.41664479,0,0,0,5,5.26,59,60.9,0,73.6,3.1,171.7,B16,U111,DE,DE9,DE93,DE937,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens)
9689,42623652,9.055750965,55.96854849,0,0,0,4.9,5.72,3.09,13.5,0,23,1,50.4,B16,U111,DK,DK0,DK04,DK041,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens)
9690,42641970,9.327347828,40.82605423,0,0,0,5.1,5.52,7.73,24.1,0,7.7,2.3,155.1,E20,U111,IT,ITG,ITG2,ITG29,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
9691,42642136,9.310793518,42.32652048,7,52,41,5.6,5.78,18.07,11.7,0,0,1.3,47.3,A22,U120,FR,FRM,FRM0,FRM02,Artificial land,Non built-up linear features,Forestry
9692,42642388,9.283432766,44.60057236,0,0,0,7,7.16,39.6,52,4,6.7,4.8,185.5,C10,U120,IT,ITH,ITH5,ITH51,Woodland,Broadleaved woodland,Forestry
9693,42642402,9.281827221,44.72679075,25,25,50,7,7.49,21.7,61.8,149,10.9,5.6,353.9,C10,U120,IT,ITC,ITC4,ITC48,Woodland,Broadleaved woodland,Forestry
9694,42642870,9.222153022,48.9405124,0,0,0,7.4,7.89,21.5,17.8,18,29.8,2.1,456.1,B11,U111,DE,DE1,DE11,DE115,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
9695,42643126,9.183737771,51.24215158,0,0,0,6.8,7.11,10.42,12.2,2,52.7,1.5,226.7,B13,U111,DE,DE7,DE73,DE734,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
9696,42643222,9.168074855,52.1049232,0,0,0,3.3,4.05,20.8,147.1,0,47.9,7.5,88.3,C10,U120,DE,DE9,DE92,DE923,Woodland,Broadleaved woodland,Forestry
9697,42643252,9.163026688,52.37451445,0,0,0,3.4,4.02,29.5,173.4,0,24.3,9.7,98.7,C10,U120,DE,DE9,DE92,DE928,Woodland,Broadleaved woodland,Forestry
9698,42643410,9.135147889,53.79424522,0,0,0,4.6,4.74,58.9,39.2,1,61.8,4.1,350.3,E20,U111,DE,DE9,DE93,DE932,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
9699,42643536,9.111233142,54.92640061,0,0,0,5.1,5.43,11.99,18.1,0,41.6,1.8,48.6,B21,U111,DK,DK0,DK03,DK032,Cropland,Potatoes,Agriculture (excluding fallow land and kitchen gardens)
9700,42661930,9.354643173,40.46432233,0,0,0,4.4,4.89,20.7,50.4,0,31.8,4.5,304.4,C10,U120,IT,ITG,ITG2,ITG26,Woodland,Broadleaved woodland,Forestry
9701,42662386,9.308794803,44.5827099,24,25,52,6.2,6.32,47.2,38.1,3,3.8,3.7,96,D10,U420,IT,ITC,ITC3,ITC33,Shrubland,Shrubland with sparse tree cover,Semi-natural and natural areas not in use
9702,42662462,9.300280753,45.26777197,0,0,0,6.3,6.5,11.18,22.6,0,55.2,2.5,134.3,B11,U111,IT,ITC,ITC4,ITC48,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
9703,42662506,9.295224466,45.66424114,0,0,0,4.5,4.91,9.63,16.8,1,13.5,2,283,C10,U120,IT,ITC,ITC4,ITC4D,Woodland,Broadleaved woodland,Forestry
9704,42663262,9.190752013,52.46457956,0,0,0,7,7.17,78.3,72.1,143,14,7.9,288.5,C10,U120,DE,DE9,DE92,DE927,Woodland,Broadleaved woodland,Forestry
9705,42663394,9.168314568,53.65069022,0,0,0,3.3,3.89,59.2,520.9,0,138.3,18.7,130.9,E20,U111,DE,DE9,DE93,DE932,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
9706,42663520,9.145430719,54.78284871,0,0,0,5.1,5.54,12.49,29.8,0,69.2,2.1,96.7,B16,U111,DE,DEF,DEF0,DEF0C,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens)
9707,42663568,9.136306317,55.21416141,0,0,0,5.2,5.61,12.18,12.6,0,48.1,1.3,54.8,B13,U111,DK,DK0,DK03,DK032,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
9708,42663640,9.122171439,55.86116522,0,0,0,4.9,5.52,5.52,44.1,0,68.1,2.3,46.4,B13,U111,DK,DK0,DK03,DK032,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
9709,42663700,9.109961469,56.40038037,0,0,0,4.9,5.29,13.81,20.7,0,37.7,1.4,48.8,A22,U312,DK,DK0,DK04,DK041,Artificial land,Non built-up linear features,Road transport
9710,42663712,9.107470631,56.50822951,0,0,0,5.5,5.84,23.3,27.1,0,93.5,2.5,191.5,B16,U111,DK,DK0,DK04,DK041,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens)
9711,42682424,9.329859081,44.92544667,0,0,0,7.3,7.75,18.67,14.5,409,24.6,1.8,270.2,B11,U111,IT,ITH,ITH5,ITH51,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
9712,42682790,9.287054685,48.22122929,0,0,0,5,5.26,25.4,34,0,9.4,3.4,189.5,C10,U120,DE,DE1,DE14,DE149,Woodland,Broadleaved woodland,Forestry
9713,42682952,9.265757744,49.67831003,0,0,0,6.9,6.92,26.3,19.2,1,77.4,2,369.8,B16,U111,DE,DE2,DE26,DE269,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens)
