OID_,Point_ID,long,lat,Clay,Sand,Silt,pH_CaCl2,pH_H20,EC,OC,CaCO3,P,N,K,LC,LU,NUTS_0,NUTS_1,NUTS_2,NUTS_3,LC0_Desc,LC1_Desc,LU1_Desc
2677,31981980,-3.163197418,40.03516821,0,0,0,7.4,7.56,231,20.9,44,0,1.6,48.6,D20,U420,ES,ES4,ES42,ES423,Shrubland,Shrubland without tree cover,Semi-natural and natural areas not in use
2678,31982074,-3.339600018,40.87116153,0,0,0,6.2,6.36,16.16,5.9,1,10.3,0.7,145.4,B11,U111,ES,ES4,ES42,ES424,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
2679,31982092,-3.374115972,41.03110602,11,45,44,5.4,5.84,5.45,21.2,0,5.2,1.7,117.2,C10,U420,ES,ES4,ES42,ES424,Woodland,Broadleaved woodland,Semi-natural and natural areas not in use
2680,31982142,-3.471271576,41.47516349,0,0,0,7.5,8.06,21.3,19.4,664,18.5,2.2,149.7,F40,U111,ES,ES4,ES41,ES416,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens)
2681,31982200,-3.586379377,41.98984433,0,0,0,7.4,8.52,12.44,30.9,300,11.4,0.6,121.7,E30,U112,ES,ES4,ES41,ES412,Grassland,Spontaneously re-vegetated surfaces,Fallow land
2682,31982206,-3.598437657,42.04306123,0,0,0,5.9,6.46,4.92,3.8,1,46.3,0.5,120.2,E30,U112,ES,ES4,ES41,ES412,Grassland,Spontaneously re-vegetated surfaces,Fallow land
2683,31982224,-3.634784387,42.20268287,0,0,0,7.3,7.53,29.9,11.3,611,51.5,2.9,451.4,B11,U111,ES,ES4,ES41,ES412,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
2684,31982236,-3.659159708,42.30907312,0,0,0,7.4,7.79,13.44,44.4,45,4.8,2.3,38.8,B13,U111,ES,ES4,ES41,ES412,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
2685,31982268,-3.724730736,42.59268618,17,28,56,7,7.2,25.8,65.3,241,11.7,4.5,199.7,D20,U420,ES,ES4,ES41,ES412,Shrubland,Shrubland without tree cover,Semi-natural and natural areas not in use
2686,31982278,-3.745393426,42.68128722,0,0,0,7.3,7.7,17.95,38.4,408,0,1.9,181.2,D20,U410,ES,ES4,ES41,ES412,Shrubland,Shrubland without tree cover,Abandoned areas
2687,31982322,-3.837296117,43.07097375,9,48,43,3.8,4.54,32.7,105.3,1,48.7,7.9,84.1,C22,U120,ES,ES4,ES41,ES412,Woodland,Pine dominated coniferous woodland,Forestry
