point_id,y_true,y_pred
30061696,19.1,29.294191531757576
30062138,7.5,16.665789180521276
30062308,14.9,39.4120046369726
30063430,87.0,39.4326555178488
30082172,2.4,19.063797111436976
30082276,12.0,15.790625746610027
30102164,9.6,15.790625746610027
30121844,4.0,28.42139576875921
30122054,3.3,29.207569949729688
30122060,7.0,36.005438729900085
30122072,9.8,37.90815160874461
30122154,4.1,16.666887853663614
30122158,5.0,27.6202816503088
30142062,4.6,36.584477696335846
30161670,12.0,17.01964709024579
30161760,11.8,22.946766727396096
30162130,10.3,27.710296839846997
30162148,6.9,17.236901242609747
30162346,87.0,43.04408387667671
30182092,4.7,22.590182309323694
30182170,2.7,16.40138795058246
30182218,3.9,28.424893610180884
30182326,73.6,35.97357313863608
30183430,87.0,39.48764154953214
30202278,7.8,15.826248500242427
30202314,41.7,40.91804886604867
30221808,23.4,25.874195864958697
30221962,21.7,40.68974462858999
30222214,3.4,20.128343211005845
30241688,10.2,16.583105326743034
30242074,3.8,40.09005347728541
30242156,4.0,25.6004704569454
30242314,17.3,40.61774982610084
30261908,17.9,26.3906165916638
30261988,10.4,25.836122830948433
30262286,8.3,16.149705924301813
30281774,29.7,17.99032900710632
30282228,6.9,27.490838620816344
30282264,9.3,15.922246039524612
30283550,87.0,51.95879048910673
30302208,4.7,23.448600294916357
30321738,14.8,19.439542369970727
30322278,10.9,18.91778051275156
30341842,29.1,27.492614004285212
30341994,3.6,19.7195926727998
30361894,13.4,29.638398102389626
30362098,6.9,27.57181715613173
30382224,5.8,18.804287491543825
30402160,1.0,16.592975429478763
30402312,18.1,33.471523236271636
30402322,20.6,42.29855866865633
30421684,3.9,16.380935630946432
30421688,21.9,17.252022189058618
30422084,9.4,37.80574690516943
30422110,2.9,20.146620739596635
30442178,6.4,20.61770582798498
30442240,4.1,17.071082660135563
30461774,13.1,17.606848921935498
30462110,3.9,21.412795181120487
30462224,5.3,24.617936013000783
30462264,10.4,18.423733235568875
30481762,8.3,16.391405380362897
30481942,25.6,43.80427457811591
30482104,2.6,24.21033431601524
30482118,5.7,19.72651362254376
30482176,3.3,20.189692960903002
30482324,37.8,48.47061620925799
30483378,84.1,35.86135115661425
30502188,7.9,16.781962662834008
30502308,11.7,28.343766660576765
30522076,19.1,30.040972798226353
30541930,11.4,28.437264647439886
30542182,9.3,21.1374093437648
30542250,7.2,15.952566488823283
30542376,78.5,43.035996354579
30561748,23.2,15.824575545979023
30562144,4.9,19.323099203953134
30562184,9.0,15.790625746610027
30581782,15.4,22.129385547814298
30602080,7.4,40.55548322854571
30602224,9.0,17.40110755704192
30622070,11.1,28.374022363586185
30642062,19.8,42.54698340301599
30642296,20.2,29.90096881817219
30682088,4.3,31.160110257624062
30702324,12.9,41.17311686175723
30702378,56.6,29.560521068015763
30721674,16.1,16.138679214166256
30722002,4.2,24.51731543206905
30762060,26.3,43.63046548965523
30762208,7.3,16.413024616870615
30781660,16.5,21.826729168923755
30782066,14.0,37.37078688844122
30801988,5.6,16.84092440393745
