OID_,Point_ID,X,Y
673,43062722,9.800618855,47.61143481
674,43062920,9.793416474,49.39273098
675,43063370,9.774311506,53.43764983
676,43082888,9.822008273,49.10497899
677,43082928,9.820696548,49.46472326
678,43082978,9.819022242,49.91434069
679,43083104,9.814623724,51.04711144
680,43083162,9.812508006,51.56844141
681,43083184,9.811689755,51.76617348
682,43083194,9.8113149,51.85604946
683,43083270,9.808404767,52.53906787
684,43083324,9.806269016,53.02433776
685,43083338,9.805705752,53.15014533
686,43103178,9.840850036,51.71229001
687,43103214,9.83970422,52.03584064
688,43122720,9.880412859,47.59355104
689,43122768,9.87940146,48.02551171
690,43122882,9.876909624,49.05108674
691,43122894,9.876639695,49.15901733
692,43122984,9.87456666,49.9683655
693,43123092,9.871960406,50.93931968
694,43123120,9.87126248,51.19100966
695,43123128,9.871061336,51.26291853
696,43123260,9.867626452,52.4492804
697,43123272,9.867302946,52.55712137
698,43123480,9.861371116,54.42624852
699,43123506,9.86058379,54.65988807
700,43142836,9.905057171,48.63733745
701,43142962,9.902841101,49.77057229
702,43143006,9.902036145,50.16620124
703,43143096,9.900336512,50.97530426
704,43143286,9.896495673,52.68296347
705,43162914,9.931214671,49.33893917
706,43162954,9.930704041,49.69865479
707,43162972,9.930471134,49.86051268
708,43163044,9.929519546,50.50786437
709,43163098,9.928784199,50.99330346
710,43163422,9.923938476,53.90511127
711,43163458,9.923349374,54.22860846
712,43182730,9.960067952,47.6836085
713,43182744,9.959969931,47.80960091
714,43182784,9.959686456,48.16953821
715,43182798,9.959586027,48.29550238
716,43182820,9.959426918,48.49343209
717,43182888,9.958924918,49.1051128
718,43182906,9.958789392,49.26700403
719,43182942,9.95851493,49.59075828
720,43183036,9.957776123,50.43595613
721,43183122,9.957070719,51.20905033
722,43183428,9.954304623,53.95904255
723,43183468,9.95391025,54.31848435
724,43183482,9.953770264,54.44428967
725,43202722,9.986707895,47.61161585
726,43202746,9.986651958,47.82760571
727,43202926,9.986212492,49.44687878
728,43203016,9.985978687,50.25615159
729,43203034,9.985930727,50.4179823
730,43203412,9.98482003,53.81527359
731,43203502,9.984522829,54.62402036
732,43222730,10.01331068,47.68361497
733,43222748,10.01335273,47.84560385
734,43222856,10.0136123,48.81728828
735,43223108,10.01427082,51.08321443
736,43223216,10.01457821,52.05392305
737,43223266,10.01472613,52.5032738
738,43223312,10.01486552,52.91665621
739,43242812,10.04051504,48.4214596
740,43243280,10.04430464,52.62908032
741,43262834,10.06779193,48.61936547
742,43262960,10.06937338,49.75260836
743,43263126,10.07160466,51.24499074
744,43263184,10.07242714,51.76630197
745,43263302,10.0741747,52.82676982
746,43263338,10.0747287,53.15027851
747,43263454,10.07658462,54.19266426
748,43283052,10.09882346,50.57976424
749,43283088,10.09950944,50.90339072
750,43283124,10.10020737,51.2269924
751,43283142,10.10056091,51.38878476
752,43283160,10.10091755,51.55057191
753,43283178,10.10127734,51.71235416
754,43302768,10.12059854,48.02551171
755,43302778,10.120812,48.11549254
756,43302858,10.12255497,48.8352122
757,43302904,10.12358639,49.24895618
758,43302918,10.12390467,49.37486562
759,43302984,10.12543334,49.9683655
760,43303056,10.12715593,50.6156963
761,43303188,10.13047242,51.80220262
762,43303228,10.13152025,52.16169758
763,43303272,10.13269705,52.55712137
764,43303296,10.13334992,52.77279961
765,43322872,10.15017019,48.96110787
766,43322934,10.15188665,49.51872147
767,43322980,10.15319247,49.93236496
768,43323106,10.15691784,51.06513138
769,43323276,10.16231753,52.59303162
770,43323334,10.16426641,53.11424477
771,43323456,10.16855851,54.210545
772,43342756,10.17382956,47.9174582
773,43342774,10.17438258,48.07942877
774,43342932,10.17943597,49.50069516
